City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
338,Aligudarz,IR,33.4006,49.6949,86.22,15,0,8.61,clear sky
339,Colares,PT,38.7992,-9.4469,66.43,83,92,1.99,overcast clouds
340,Wajir,KE,1.7471,40.0573,77.85,56,33,18.57,scattered clouds
341,Lebu,CL,-37.6167,-73.65,49.6,78,67,7.2,broken clouds
342,Beringovskiy,RU,63.05,179.3167,49.89,66,38,10.6,scattered clouds
343,Merauke,ID,-8.4667,140.3333,81.3,81,88,15.35,overcast clouds
344,Codrington,AU,-38.2667,141.9667,51.84,79,70,11.32,broken clouds
345,Batagay-Alyta,RU,67.8006,130.4114,61.75,38,98,11.43,overcast clouds
346,Kosa,RU,59.9445,54.9977,73.15,65,62,8.05,broken clouds
347,Port Moresby,PG,-9.4431,147.1797,87.22,66,40,11.5,haze
348,Lata,PT,40.1629,-8.3327,65.05,96,18,0.87,few clouds
349,Veraval,IN,20.9,70.3667,87.01,73,93,18.88,overcast clouds
350,Kadyy,RU,57.787,43.1903,71.76,70,26,3.85,moderate rain
351,Fuchu,JP,35.6667,139.4833,79.66,74,75,4.61,broken clouds
352,Ripky,UA,51.801,31.0838,66.96,68,7,9.93,clear sky
353,Aneho,TG,6.2333,1.6,79.0,86,94,10.51,overcast clouds
354,Chapais,CA,49.7834,-74.8492,47.98,72,41,11.52,scattered clouds
