City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,238,Peterhead,GB,57.5058,-1.7981,48.7,83,10,9.89,clear sky
239,239,Aleksandrovskoye,RU,44.7142,43.0008,66.34,86,97,9.22,light rain
240,240,Walla Walla,US,46.0646,-118.343,71.01,56,73,4.0,light rain
241,241,Bonavista,CA,48.6499,-53.1147,44.06,90,20,11.61,few clouds
242,242,Pleshanovo,RU,52.8333,53.4833,73.63,62,53,6.89,broken clouds
243,243,Saskylakh,RU,71.9167,114.0833,49.71,47,95,13.04,overcast clouds
244,244,Srednekolymsk,RU,67.45,153.6833,55.04,67,100,12.15,overcast clouds
245,245,Yulara,AU,-25.2406,130.9889,68.88,21,0,12.21,clear sky
246,246,Bonthe,SL,7.5264,-12.505,78.3,83,84,6.6,light rain
247,247,Zambezi,ZM,-13.5432,23.1047,45.57,50,59,4.61,broken clouds
248,248,Megion,RU,61.0296,76.1136,75.22,40,55,12.19,broken clouds
249,249,Mamakan,RU,57.8161,114.0028,66.36,56,100,2.3,light rain
250,250,Te Anau,NZ,-45.4167,167.7167,48.43,98,100,1.1,overcast clouds
251,251,Kosino,RU,58.4127,51.2782,66.96,78,3,3.09,clear sky
252,252,Suluova,TR,40.8313,35.6479,58.86,88,20,2.3,few clouds
253,253,Cap-Chat,CA,49.1001,-66.6821,54.54,96,100,6.64,overcast clouds
254,254,Port-Cartier,CA,50.0334,-66.8654,46.74,99,100,7.18,overcast clouds
255,255,Anchorage,US,61.2181,-149.9003,73.85,64,28,1.99,scattered clouds
256,256,Serpa,PT,37.9458,-7.5975,65.53,74,65,1.23,broken clouds
257,257,Beyneu,KZ,45.3167,55.2,84.42,18,21,20.24,few clouds
258,258,Saldanha,ZA,-33.0117,17.9442,56.61,74,100,10.04,overcast clouds
259,259,Visby,SE,57.6409,18.296,58.86,72,87,19.57,overcast clouds
260,260,Samarai,PG,-10.6167,150.6667,82.15,77,19,12.17,few clouds
261,261,Honiara,SB,-9.4333,159.95,84.69,77,91,7.81,overcast clouds
262,262,Naifaru,MV,5.4444,73.3657,83.08,73,91,16.71,overcast clouds
263,263,Vardo,NO,70.3705,31.1107,48.4,87,99,17.72,overcast clouds
264,264,Fare,PF,-16.7,-151.0167,80.04,79,30,19.86,light rain
265,265,Cananeia,BR,-25.0147,-47.9267,60.19,88,5,2.68,clear sky
266,266,Coari,BR,-4.085,-63.1414,73.6,98,100,3.2,overcast clouds
267,267,Cururupu,BR,-1.8283,-44.8683,74.73,94,100,2.39,overcast clouds
268,268,Aswan,EG,24.0934,32.907,80.2,27,0,15.3,clear sky
269,269,Male,MV,4.1748,73.5089,85.95,70,40,12.66,scattered clouds
270,270,Sur,OM,22.5667,59.5289,95.58,42,43,5.19,scattered clouds
271,271,Bengkulu,ID,-3.8004,102.2655,85.24,62,68,4.41,broken clouds
272,272,Mahebourg,MU,-20.4081,57.7,72.25,94,40,5.75,scattered clouds
273,273,Karratha,AU,-20.7377,116.8463,77.54,26,88,19.01,overcast clouds
274,274,Nantucket,US,41.2835,-70.0995,66.09,97,84,12.1,broken clouds
275,275,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,83,88,5.97,overcast clouds
276,276,Sibu,MY,2.3,111.8167,91.71,58,45,1.97,scattered clouds
277,277,Cidreira,BR,-30.1811,-50.2056,57.87,84,0,7.76,clear sky
278,278,San Cristobal,VE,7.7669,-72.225,66.2,90,88,1.74,overcast clouds
279,279,Ozernovskiy,RU,51.5,156.5167,45.66,89,93,4.88,overcast clouds
280,280,George,ZA,-33.963,22.4617,58.21,63,45,4.0,scattered clouds
281,281,Cassilandia,BR,-19.1133,-51.7342,63.39,59,0,2.48,clear sky
282,282,Taltal,CL,-25.4,-70.4833,59.2,79,97,6.8,overcast clouds
283,283,Nanortalik,GL,60.1432,-45.2371,35.64,93,45,1.59,scattered clouds
284,284,Batsfjord,NO,70.6345,29.7185,48.42,91,100,8.68,overcast clouds
285,285,Jinka,ET,5.65,36.65,61.77,86,100,1.86,light rain
286,286,Urubicha,BO,-15.3833,-62.95,66.76,84,4,1.61,clear sky
287,287,Soria,ES,41.6667,-2.6667,54.86,69,2,4.52,clear sky
288,288,Dahanu,IN,19.9667,72.7333,84.45,76,100,11.52,overcast clouds
289,289,Cooma,AU,-36.2333,149.1333,53.1,58,85,3.27,overcast clouds
290,290,Prince Rupert,CA,54.3161,-130.3201,56.35,86,46,4.27,light rain
291,291,Vieste,IT,41.8825,16.175,67.3,53,0,4.99,clear sky
292,292,Sitka,US,57.0531,-135.33,57.42,81,82,3.31,broken clouds
293,293,Tazovskiy,RU,67.4667,78.7,57.87,73,10,3.15,clear sky
294,294,Cherskiy,RU,68.75,161.3,62.02,33,87,12.62,overcast clouds
295,295,Durango,MX,24.8333,-104.8333,70.3,29,41,7.81,scattered clouds
296,296,Ust-Omchug,RU,61.15,149.6333,66.92,36,60,11.65,broken clouds
297,297,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,85,78,5.44,broken clouds
298,298,Dehui,CN,44.5333,125.7,66.51,78,100,17.65,overcast clouds
299,299,Urumqi,CN,43.801,87.6005,70.75,23,0,8.95,clear sky
300,300,Awjilah,LY,29.1081,21.2869,69.53,62,0,8.37,clear sky
301,301,Chokurdakh,RU,70.6333,147.9167,54.72,54,95,7.58,overcast clouds
302,302,Hinton,CA,53.4001,-117.5857,62.49,82,90,1.83,overcast clouds
303,303,Ishim,RU,56.1128,69.4902,74.71,50,78,9.51,broken clouds
304,304,Camapua,BR,-19.5314,-54.0439,64.69,62,0,4.74,clear sky
305,305,Sayyan,YE,15.1718,44.3244,67.12,12,41,3.47,scattered clouds
306,306,Chalus,IR,36.655,51.4204,78.58,69,0,4.0,clear sky
307,307,Monster,NL,52.0258,4.175,63.99,81,90,3.0,overcast clouds
308,308,Krasnoarmeysk,RU,51.0239,45.6969,62.15,90,99,10.18,overcast clouds
309,309,Pevek,RU,69.7008,170.3133,36.72,81,64,5.66,broken clouds
310,310,Gushikawa,JP,26.3544,127.8686,80.19,94,40,3.44,scattered clouds
311,311,Kuah,MY,6.3265,99.8432,84.36,68,44,3.38,light rain
312,312,Sindor,RU,62.8629,51.8905,62.6,49,75,6.29,broken clouds
313,313,Sabha,LY,27.0377,14.4283,75.31,24,0,9.24,clear sky
314,314,Watrous,CA,51.6668,-105.4679,68.95,65,1,14.14,clear sky
315,315,Eureka,US,40.8021,-124.1637,59.94,74,19,0.63,few clouds
316,316,Bathsheba,BB,13.2167,-59.5167,81.07,73,86,20.67,overcast clouds
317,317,Kaliua,TZ,-5.0606,31.7936,59.4,69,43,4.74,scattered clouds
318,318,Iquique,CL,-20.2208,-70.1431,62.04,73,26,1.14,scattered clouds
319,319,Kalianget,ID,-7.05,113.9333,85.55,69,18,12.91,few clouds
320,320,Erzurum,TR,40.0,41.5,56.88,61,33,4.81,scattered clouds
321,321,Hay River,CA,60.8156,-115.7999,52.63,59,90,9.24,overcast clouds
322,322,Krasnoselkup,RU,65.7,82.4667,68.38,71,100,13.82,overcast clouds
323,323,Carbonear,CA,47.7332,-53.2148,45.63,93,3,7.36,clear sky
324,324,Maarianhamina,AX,60.0973,19.9348,55.26,71,0,10.36,clear sky
325,325,Balabac,PH,7.9868,117.0645,86.85,67,99,12.46,overcast clouds
326,326,Yanam,IN,16.7333,82.2167,86.4,68,100,10.49,light rain
327,327,Sobinka,RU,55.9855,40.0111,66.69,81,44,2.84,scattered clouds
328,328,Scottsbluff,US,41.8666,-103.6672,86.23,43,0,14.97,clear sky
329,329,Souillac,MU,-20.5167,57.5167,72.36,94,40,5.75,scattered clouds
330,330,Port Macquarie,AU,-31.4333,152.9167,65.89,58,58,4.32,broken clouds
