City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Berlevag,NO,2021-06-14 05:25:18,70.8578,29.0864,48.15,61,0,23.02
147,Port Elizabeth,ZA,2021-06-14 05:25:18,-33.918,25.5701,55.69,82,0,5.75
148,Sitka,US,2021-06-14 05:25:19,57.0531,-135.33,58.89,63,20,10.36
149,Ponta Do Sol,PT,2021-06-14 05:25:19,32.6667,-17.1,68.63,65,83,5.53
150,Puri,IN,2021-06-14 05:25:20,19.8,85.85,85.37,65,98,7.67
151,Plavinas,LV,2021-06-14 05:25:20,56.6178,25.7255,55.54,61,4,6.49
152,Nuuk,GL,2021-06-14 05:22:59,64.1835,-51.7216,36.21,87,45,5.75
153,Pevek,RU,2021-06-14 05:25:22,69.7008,170.3133,38.86,74,99,7.85
154,Fort Nelson,CA,2021-06-14 05:25:22,58.8053,-122.7002,63.99,52,20,3.44
155,Saravan,AM,2021-06-14 05:25:22,39.7196,45.6483,66.85,44,0,2.77
156,Japura,ID,2021-06-14 05:25:23,-0.3167,102.35,91.11,51,70,4.59
157,Atuona,PF,2021-06-14 05:25:23,-9.8,-139.0333,79.05,81,80,23.64
158,Torbay,CA,2021-06-14 05:25:24,47.6666,-52.7314,47.57,90,75,11.5
159,Port Lincoln,AU,2021-06-14 05:25:24,-34.7333,135.8667,63.32,51,46,6.85
160,Hualmay,PE,2021-06-14 05:25:25,-11.0964,-77.6139,64.27,84,1,7.74
161,Khalkhal,IR,2021-06-14 05:25:25,37.6189,48.5258,66.34,44,0,2.77
162,Mezen,RU,2021-06-14 05:25:25,65.8522,44.24,64.2,75,66,12.33
163,Ichinohe,JP,2021-06-14 05:25:26,40.2069,141.3017,80.53,49,100,9.01
164,Hofn,IS,2021-06-14 05:25:26,64.2539,-15.2082,37.83,65,99,17.38
165,Rotterdam,NL,2021-06-14 05:20:51,51.9225,4.4792,63.91,80,6,4.61
166,Korla,CN,2021-06-14 05:25:27,41.7597,86.1469,74.43,23,100,14.16
167,Fria,GN,2021-06-14 05:25:28,10.4167,-13.5833,71.44,97,100,3.76
168,Bethel,US,2021-06-14 05:25:28,41.3712,-73.414,65.71,79,90,4.7
169,Eureka,US,2021-06-14 05:21:07,40.8021,-124.1637,63.63,96,100,6.15
170,East London,ZA,2021-06-14 05:25:29,-33.0153,27.9116,59.94,82,20,9.22
171,Mattru,SL,2021-06-14 05:25:29,7.6244,-11.8332,73.56,98,83,0.92
172,Dongzhen,CN,2021-06-14 05:25:29,22.3797,110.9389,89.73,63,47,9.35
173,Monzon,ES,2021-06-14 05:25:30,41.9108,0.1941,70.81,51,7,3.51
174,Atar,MR,2021-06-14 05:25:31,20.5169,-13.0499,91.92,14,60,19.3
175,Sisimiut,GL,2021-06-14 05:25:31,66.9395,-53.6735,36.19,76,95,5.14
176,Knysna,ZA,2021-06-14 05:25:31,-34.0363,23.0471,52.18,91,47,3.27
177,Porbandar,IN,2021-06-14 05:25:32,21.6422,69.6093,91.38,66,40,13.8
